ID,Location_ID,Sensing_Date,HourDay,Direction_1,Direction_2,Total_of_Directions,Sensor_Name,Location
212920251018,212,2025-10-18,9,427,171,598,SouthB_T,"-37.82025374, 144.96501549"
43520251030,43,2025-10-30,5,1,1,2,UM2_T,"-37.79844526, 144.96411782"
1851520251023,185,2025-10-23,15,819,750,1569,Eli197_T,"-37.81374643, 144.96276183"
4920251023,4,2025-10-23,9,587,460,1047,Swa123_T,"-37.81487988, 144.9660878"
108120251011,108,2025-10-11,1,54,32,86,261Will_T,"-37.81295822, 144.95678789"
611520251015,61,2025-10-15,15,539,761,1300,RMIT14_T,"-37.80767455, 144.96309114"
167820251019,167,2025-10-19,8,18,42,60,Lat526_T,"-37.81304149, 144.95155955"
1401620251021,140,2025-10-21,16,79,93,172,Boyd2837_T,"-37.82590962, 144.96185972"
1671920251029,167,2025-10-29,19,56,77,133,Lat526_T,"-37.81304149, 144.95155955"
251020251031,25,2025-10-31,10,251,643,894,MCEC_T,"-37.82401776, 144.95604426"
1071720251005,107,2025-10-05,17,103,86,189,280Will_T,"-37.81246271, 144.95690188"
1411620251014,141,2025-10-14,16,137,139,276,474Fl_T,"-37.81997273, 144.95834911"
481620251025,48,2025-10-25,16,345,279,624,QVMQ_T,"-37.80631581, 144.95866697"
31020251017,31,2025-10-17,0,14,19,33,Lyg161_T,"-37.80169681, 144.96658911"
1791220251017,179,2025-10-17,12,60,46,106,Pow61_T,"-37.82392385, 144.96299677"
621320251022,62,2025-10-22,13,247,188,435,Lat224_T,"-37.80996494, 144.96216521"
582220251023,58,2025-10-23,22,188,197,385,Bou688_T,"-37.81686075, 144.95358075"
53020251017,53,2025-10-17,0,24,36,60,Col254_T,"-37.81564191, 144.965499"
9420251004,9,2025-10-04,4,1,3,4,Col700_T,"-37.81982992, 144.95102555"
84120251014,84,2025-10-14,1,16,27,43,ElFi_T,"-37.81798049, 144.96503383"
41420251016,41,2025-10-16,4,27,63,90,Swa31,"-37.81668634, 144.96689733"
791220251010,79,2025-10-10,12,429,303,732,FliSS_T,"-37.81794046, 144.96616678"
41020251027,41,2025-10-27,0,49,40,89,Swa31,"-37.81668634, 144.96689733"
42620251025,42,2025-10-25,6,2,5,7,UM1_T,"-37.80008566, 144.96386412"
712020251029,71,2025-10-29,20,4,7,11,WestWP_T,"-37.81235775, 144.97136962"
541620251020,54,2025-10-20,16,198,328,526,Swa607_T,"-37.804024, 144.96308399"
1621720251014,162,2025-10-14,17,476,554,1030,Eli489_T,"-37.80740397, 144.95987909"
41720251010,41,2025-10-10,7,810,439,1249,Swa31,"-37.81668634, 144.96689733"
52020251012,5,2025-10-12,20,236,331,567,PriNW_T,"-37.81874249, 144.96787656"
1312220251007,131,2025-10-07,22,68,39,107,King2_T,"-37.82009057, 144.95758725"
139820251013,139,2025-10-13,8,27,394,421,Signal1647_T,"-37.81959923, 144.9632832"
81720251021,8,2025-10-21,17,291,444,735,WebBN_T,"-37.82293543, 144.9471751"
1811120251002,181,2025-10-02,11,485,676,1161,Eli368_T,"-37.81009465, 144.96143149"
122220251030,12,2025-10-30,22,62,36,98,NewQ_T,"-37.81457988, 144.94292398"
1341020251015,134,2025-10-15,10,254,343,597,Spen201_T,"-37.81694221, 144.95303935"
82320251009,8,2025-10-09,23,7,7,14,WebBN_T,"-37.82293543, 144.9471751"
8020251018,8,2025-10-18,0,11,9,20,WebBN_T,"-37.82293543, 144.9471751"
1091720251029,109,2025-10-29,17,517,87,604,LatWill_T,"-37.81193681, 144.95621105"
581120251017,58,2025-10-17,11,620,277,897,Bou688_T,"-37.81686075, 144.95358075"
91920251029,9,2025-10-29,19,257,76,333,Col700_T,"-37.81982992, 144.95102555"
136820251008,136,2025-10-08,8,141,191,332,BirFed1120_T,"-37.8184141, 144.97357915"
42920251013,42,2025-10-13,9,294,139,433,UM1_T,"-37.80008566, 144.96386412"
77520251020,77,2025-10-20,5,2,10,12,HarEsP_T,"-37.81441438, 144.94433026"
51620251007,5,2025-10-07,16,1068,910,1978,PriNW_T,"-37.81874249, 144.96787656"
